year,district,week_index,avg_rainfall,avg_temperature,avg_humidity,population,elevation_m,river_status,area_sq_km,sanitation_index,malaria_cases,ad_cases,typhoid_cases,flood_inundation,mean_ndvi,stagnant_water,malaria_risk,ad_risk,typhoid_risk,malaria_risk_next_week,ad_risk_next_week,typhoid_risk_next_week,avg_rainfall_lag1,avg_rainfall_lag2,avg_temperature_lag1,avg_temperature_lag2,avg_humidity_lag1,avg_humidity_lag2,flood_inundation_lag1,flood_inundation_lag2,stagnant_water_lag1,stagnant_water_lag2,mean_ndvi_lag1,mean_ndvi_lag2,avg_rainfall_roll3,avg_rainfall_roll5,avg_temperature_roll3,avg_temperature_roll5,avg_humidity_roll3,avg_humidity_roll5,flood_inundation_roll3,flood_inundation_roll5,stagnant_water_roll3,stagnant_water_roll5,mean_ndvi_roll3,mean_ndvi_roll5
2024,Chitral Upper,22,0.0857,20.5973,37.6504,204308,2500,1,8392,0.2,13,127,3,0.365833218,0.028928412,0.2049759,0.636294222,6.216105096,0.146837128,0.153430711,4.807495602,0.10228714,0.1857,0.6143,20.4533,17.3318,45.9672,46.7022,0.32227076,0.440897656,0.21648959,0.197657722,0.018903749,0.015057777,0.295233333,0.61714,19.4608,17.01212,43.43993333,45.91074,0.376333878,0.299883328,0.206374404,0.123824643,0.020963313,0.013088839
2024,Chitral Upper,23,0.8429,19.8181,53.1412,195528,2500,1,8392,0.2,3,94,2,0.34455384,0.000528999,0.133958478,0.153430711,4.807495602,0.10228714,0.306861421,5.728079866,0.409148562,0.0857,0.1857,20.5973,20.4533,37.6504,45.9672,0.365833218,0.32227076,0.2049759,0.21648959,0.028928412,0.018903749,0.371433333,0.63714,20.28956667,18.75164,45.58626667,45.43486,0.344219273,0.35821498,0.185141323,0.150616338,0.016120387,0.012333182
2024,Chitral Upper,24,0,24.2509,36.1686,195528,2500,1,8392,0.2,6,112,8,0.403788719,0.044301223,0.138671872,0.306861421,5.728079866,0.409148562,0.153430711,6.59752056,0.562579273,0.8429,0.0857,19.8181,20.5973,53.1412,37.6504,0.34455384,0.365833218,0.133958478,0.2049759,0.000528999,0.028928412,0.309533333,0.34572,21.55543333,20.49028,42.32006667,43.92592,0.371391926,0.375468839,0.159202084,0.178350713,0.024586211,0.021544032
2024,Chitral Upper,25,0.2429,23.1226,49.4353,195528,2500,1,8392,0.2,3,129,11,0.373006682,-0.013973466,0.263258708,0.153430711,6.59752056,0.562579273,0.306861421,10.53557547,0.971727834,0,0.8429,24.2509,19.8181,36.1686,53.1412,0.403788719,0.34455384,0.138671872,0.133958478,0.044301223,0.000528999,0.361933333,0.27144,22.3972,21.64844,46.24836667,44.47254,0.37378308,0.361890644,0.178629686,0.19147091,0.010285586,0.015737784
2024,Chitral Upper,26,0.3,26.5628,42.0141,195528,2500,1,8392,0.2,6,206,19,0.207224943,0.008042506,0.130717584,0.306861421,10.53557547,0.971727834,0.255717851,9.410416922,0.920584264,0.2429,0,23.1226,24.2509,49.4353,36.1686,0.373006682,0.403788719,0.263258708,0.138671872,-0.013973466,0.044301223,0.180966667,0.2943,24.64543333,22.87034,42.53933333,43.68192,0.328006782,0.338881481,0.177549388,0.174316509,0.012790088,0.013565535
2024,Chitral Upper,27,0,27.88,36.6894,195528,2500,1,8392,0.2,5,184,18,0.266854982,0.056636989,0.122660411,0.255717851,9.410416922,0.920584264,0.306861421,9.001268361,0.562579273,0.3,0.2429,26.5628,23.1226,42.0141,49.4353,0.207224943,0.373006682,0.130717584,0.263258708,0.008042506,-0.013973466,0.180966667,0.27716,25.85513333,24.32688,42.71293333,43.48972,0.282362203,0.319085833,0.172212234,0.157853411,0.01690201,0.01910725
2024,Chitral Upper,28,0.1,24.9878,48.7618,195528,2500,1,8392,0.2,6,176,11,0.139506019,0.058231373,0.103763634,0.306861421,9.001268361,0.562579273,0.204574281,6.955525551,0.460292132,0,0.3,27.88,26.5628,36.6894,42.0141,0.266854982,0.207224943,0.122660411,0.130717584,0.056636989,0.008042506,0.133333333,0.12858,26.47686667,25.36082,42.48843333,42.61384,0.204528648,0.278076269,0.11904721,0.151814442,0.040970289,0.030647725
2024,Chitral Upper,29,0.4857,24.5071,57.0871,195528,2500,1,8392,0.2,4,136,9,0.306834542,0.06597688,0.100968208,0.204574281,6.955525551,0.460292132,0.204574281,12.018739,0.255717851,0.1,0,24.9878,27.88,48.7618,36.6894,0.139506019,0.266854982,0.103763634,0.122660411,0.058231373,0.056636989,0.195233333,0.22572,25.79163333,25.41206,47.51276667,46.79754,0.237731848,0.258685434,0.109130751,0.144273709,0.060281747,0.034982857
2024,Chitral Upper,30,0,28.6649,41.8002,195528,2500,1,8392,0.2,4,235,5,0.141154904,0.074119831,0,0.204574281,12.018739,0.255717851,0.153430711,12.018739,0.05114357,0.4857,0.1,24.5071,24.9878,57.0871,48.7618,0.306834542,0.139506019,0.100968208,0.103763634,0.06597688,0.058231373,0.195233333,0.17714,26.05326667,26.52052,49.21636667,45.27052,0.195831822,0.212315078,0.068243948,0.091621968,0.066109361,0.052601516
2024,Chitral Upper,31,1.5429,27.5262,62.7351,195528,2500,1,8392,0.2,3,235,1,0.134596746,0.041484302,0,0.153430711,12.018739,0.05114357,0.255717851,11.60959044,0.204574281,0,0.4857,28.6649,24.5071,41.8002,57.0871,0.141154904,0.306834542,0,0.100968208,0.074119831,0.06597688,0.6762,0.42572,26.8994,26.7132,53.87413333,49.41472,0.194195397,0.197789439,0.033656069,0.065478451,0.060527004,0.059289875
