Year,District,week_index,Avg_rainfall,Avg_Temperature,Avg_Humidity,Population,Elevation_m_y,River_Status_y,Area_sq_km_y,Sanitation_Index_y,Malaria_cases,AD_cases,Typhoid_cases,Flood_Inundation,Mean_NDVI,Stagnant_Water
2024,Malir,19,0.0,30.1666,70.6265,2428732.0,20.0,0.0,2268.0,0.75,194,1840,41,,0.1018081796861107,
2024,South,19,0.0,30.3328,66.7895,2166395.0,4.0,0.0,122.0,0.95,46,128,0,,0.088396729102936,
2024,West,19,0.0,29.9647,72.0096,4732945.0,15.0,0.0,929.0,0.75,172,1167,35,0.5675949443638125,0.0962296755640002,0.5263213594581522
2024,Kashmore,19,0.0,36.3152,21.1365,1316520.0,60.0,2.0,2592.0,0.35,1743,684,8,,,
2024,Khairpur,19,0.0,37.1653,21.7871,2908676.0,53.0,2.0,15910.0,0.5,5382,4001,299,0.8644899414989303,0.0804850064723821,0.7513954487272074
2024,Larkana,19,0.0,37.1955,21.0229,1842403.0,48.0,2.0,1906.0,0.5,5939,2648,7,0.6498799004180044,0.1053117625675821,0.6308945612002868
2024,Matiari,19,0.0,35.207,38.2232,930873.0,25.0,2.0,1417.0,0.2,1686,2487,5,,,
2024,Mirpurkhas,19,0.0,35.3741,38.7418,1820642.0,16.0,0.0,2925.0,0.5,3541,3211,52,,,
2024,Naushero Feroze,19,0.0,37.048,25.5824,1948788.0,38.0,2.0,2945.0,0.2,934,688,49,0.5574574924757765,0.1376380818703347,0.5293673712409754
2024,Sanghar,19,0.0,35.7486,34.6205,2486760.0,16.0,1.0,10608.0,0.2,3439,1417,24,0.8319952387721457,0.1024774017908964,0.5685327086615474
2024,Shaheed Benazirabad,19,0.0,36.3299,29.8391,1949997.0,30.0,2.0,4502.0,0.5,1840,2233,155,0.6620164737774986,0.1224541172700264,0.6344904813827937
2024,Shikarpur,19,0.0,37.0337,19.3347,1488188.0,52.0,1.0,2512.0,0.35,2186,1346,3,0.7208789353324154,0.1302590393393203,0.6824992087548947
2024,Sujawal,19,0.0,31.9625,61.6514,945380.0,,,,,1735,788,2,,,
2024,Sukkur,19,0.0,36.9699,21.0279,1798882.0,65.0,2.0,5165.0,0.75,1863,1649,7,0.8404535629767514,0.0948903893948615,0.7045001281846908
2024,Tando Allahyar,19,0.0,35.0066,41.1374,1011871.0,18.0,0.0,2343.0,0.2,1745,1869,14,,,
2024,Tando Muhammad Khan,19,0.0,33.5627,51.8282,818443.0,14.0,2.0,1733.0,0.2,1691,1404,2,,,
2024,Tharparkar,19,0.0,33.9847,47.8494,1994728.0,56.0,0.0,19638.0,0.35,2216,1819,25,0.8801348003125267,0.0710312765230513,0.9022560184213084
2024,Thatta,19,0.0,31.439,64.33,1184747.0,10.0,2.0,17355.0,0.35,1715,2359,31,0.9276488209571718,0.1046704821314784,0.86779478141655
2024,Umerkot,19,0.0,35.1732,38.8568,1297177.0,12.0,0.0,5608.0,0.35,2104,1422,23,0.9095791583166324,0.0880303281130628,0.9953506960634116
