Year,District,Latitude,Longitude,Avg_Rainfall,Avg_Temperature,Avg_Humidity,Population_Density,People_Displaced,Fatalities,Cholera_Cases,Malaria_Cases,Dengue_Cases,Month_Index,Flood_Duration_Days,Flood_Marker,Waterbody_Proximity,Flood_Severity_Index
2022,Jhang,31.2728805,72.3103071,3.621830065359476,31.16718954248368,56.60241830065361,,,,,,,10,30,1,5000,0.07
2022,Kachi,37.0681918,74.9781482,0.4128758169934642,2.5105882352941165,50.86745098039215,,,,,,,6,30,1,5000,0.01
2022,Kachi,37.0681918,74.9781482,0.4128758169934642,2.5105882352941165,50.86745098039215,,,,,,,7,30,1,5000,0.01
2022,Kachi,37.0681918,74.9781482,0.4128758169934642,2.5105882352941165,50.86745098039215,,,,,,,8,30,1,5000,0.01
2022,Kachi,37.0681918,74.9781482,0.4128758169934642,2.5105882352941165,50.86745098039215,,,,,,,9,30,1,5000,0.01
2022,Kachi,37.0681918,74.9781482,0.4128758169934642,2.5105882352941165,50.86745098039215,,,,,,,10,30,1,5000,0.01
2022,Kalat,29.029138,66.5887761,4.1129411764705885,21.36915032679739,53.10326797385621,,,,,,,6,30,1,5000,0.08
2022,Kalat,29.029138,66.5887761,4.1129411764705885,21.36915032679739,53.10326797385621,,,,,,,7,30,1,5000,0.08
2022,Kalat,29.029138,66.5887761,4.1129411764705885,21.36915032679739,53.10326797385621,,,,,,,8,30,1,5000,0.08
2022,Kalat,29.029138,66.5887761,4.1129411764705885,21.36915032679739,53.10326797385621,,,,,,,9,30,1,5000,0.08
2022,Kalat,29.029138,66.5887761,4.1129411764705885,21.36915032679739,53.10326797385621,,,,,,,10,30,1,5000,0.08
2022,Kambar Shahdadkot,27.6002043,68.0277649,8.017516339869282,30.887908496732027,65.0266666666667,,,,,,,6,30,1,5000,0.16
2022,Kambar Shahdadkot,27.6002043,68.0277649,8.017516339869282,30.887908496732027,65.0266666666667,,,,,,,7,30,1,5000,0.16
2022,Kambar Shahdadkot,27.6002043,68.0277649,8.017516339869282,30.887908496732027,65.0266666666667,,,,,,,8,30,1,5000,0.16
2022,Kambar Shahdadkot,27.6002043,68.0277649,8.017516339869282,30.887908496732027,65.0266666666667,,,,,,,9,30,1,5000,0.16
2022,Kambar Shahdadkot,27.6002043,68.0277649,8.017516339869282,30.887908496732027,65.0266666666667,,,,,,,10,30,1,5000,0.16
2022,Kashmore,28.4322915,69.5814755,8.700653594771241,30.661960784313724,64.12379084967321,,,,,,,6,30,1,5000,0.17
